timestamp,queue,dominant_emotion,neg_count,flagged,recommendation
2026-05-17 22:40:47,Counter,Neutral,0,False,All Good
2026-05-17 22:40:47,Queue 1,Happy,0,False,All Good
2026-05-17 22:40:47,Queue 2,Neutral,0,False,All Good
2026-05-17 22:40:47,Queue 3,Neutral,0,False,All Good
2026-05-17 22:41:36,Counter,Neutral,0,False,All Good
2026-05-17 22:41:36,Queue 1,Neutral,0,False,All Good
2026-05-17 22:41:36,Queue 2,Neutral,0,False,All Good
2026-05-17 22:41:36,Queue 3,Neutral,0,False,All Good
2026-05-17 22:41:49,Counter,Neutral,0,False,All Good
2026-05-17 22:41:49,Queue 1,Neutral,0,False,All Good
2026-05-17 22:41:49,Queue 2,Neutral,0,False,All Good
2026-05-17 22:41:49,Queue 3,Neutral,0,False,All Good
2026-05-17 22:42:04,Counter,Neutral,0,False,All Good
2026-05-17 22:42:04,Queue 1,Neutral,0,False,All Good
2026-05-17 22:42:04,Queue 2,Neutral,0,False,All Good
2026-05-17 22:42:04,Queue 3,Neutral,0,False,All Good
2026-05-17 22:42:17,Counter,Neutral,0,False,All Good
2026-05-17 22:42:17,Queue 1,Neutral,0,False,All Good
2026-05-17 22:42:17,Queue 2,Neutral,0,False,All Good
2026-05-17 22:42:17,Queue 3,Neutral,0,False,All Good
2026-05-17 22:42:30,Counter,Neutral,0,False,All Good
2026-05-17 22:42:30,Queue 1,Neutral,0,False,All Good
2026-05-17 22:42:30,Queue 2,Neutral,0,False,All Good
2026-05-17 22:42:30,Queue 3,Neutral,0,False,All Good
2026-05-17 22:42:44,Counter,Neutral,0,False,All Good
2026-05-17 22:42:44,Queue 1,Neutral,0,False,All Good
2026-05-17 22:42:44,Queue 2,Neutral,0,False,All Good
2026-05-17 22:42:44,Queue 3,Neutral,0,False,All Good
2026-05-17 22:42:58,Counter,Neutral,0,False,All Good
2026-05-17 22:42:58,Queue 1,Neutral,0,False,All Good
2026-05-17 22:42:58,Queue 2,Neutral,0,False,All Good
2026-05-17 22:42:58,Queue 3,Neutral,0,False,All Good
2026-05-17 22:43:12,Counter,Neutral,0,False,All Good
2026-05-17 22:43:12,Queue 1,Neutral,0,False,All Good
2026-05-17 22:43:12,Queue 2,Neutral,0,False,All Good
2026-05-17 22:43:12,Queue 3,Neutral,0,False,All Good
2026-05-17 22:43:25,Counter,Neutral,0,False,All Good
2026-05-17 22:43:25,Queue 1,Neutral,0,False,All Good
2026-05-17 22:43:25,Queue 2,Neutral,0,False,All Good
2026-05-17 22:43:25,Queue 3,Neutral,0,False,All Good
2026-05-17 22:43:37,Counter,Neutral,0,False,All Good
2026-05-17 22:43:37,Queue 1,Neutral,0,False,All Good
2026-05-17 22:43:37,Queue 2,Neutral,0,False,All Good
2026-05-17 22:43:37,Queue 3,Neutral,0,False,All Good
2026-05-17 22:43:51,Counter,Neutral,0,False,All Good
2026-05-17 22:43:51,Queue 1,Neutral,0,False,All Good
